3/31/2020 23:32,b'RT @GeryRdz: Just do the next right thing \xe2\x9c\xa8\n#Frozen2 \xf0\x9f\x8d\x82 https://t.co/t0KeFVHxff'
,
3/31/2020 23:32,b'RT @Disney: #Frozen2 is now streaming on #DisneyPlus \xe2\x9d\x84\xef\xb8\x8f \xf0\x9f\x8d\x82 https://t.co/xb2MyfDc2E'
,
3/31/2020 23:31,b'RT @Disney: #Frozen2 is now streaming on #DisneyPlus \xe2\x9d\x84\xef\xb8\x8f \xf0\x9f\x8d\x82 https://t.co/xb2MyfDc2E'
,
3/31/2020 23:29,"b""RT @DisneyD23: ICYMI: Have you been watching #Frozen2 on #DisneyPlus? Hear some snow cool secrets from the film's creators: https://t.co/Lk\xe2\x80\xa6"""
,
3/31/2020 23:27,"b""RT @anygoodfilms: #RT \n\n#MondayMotivation \n#MondayMood \n\n#Win a blu ray of long awaited Disney sequel, 'Frozen 2'\nhttps://t.co/VEjgZYBTUA\xe2\x80\xa6"""
,
3/31/2020 23:26,"b'RT @honeymarens: introducing her majesty, queen anna of arendelle!! \xf0\x9f\xa5\xb0\xf0\x9f\x92\x95 #Frozen2 #ACNH https://t.co/vOppwWeKvX'"
,
3/31/2020 23:25,"b'RT @DisneyAnimation: For this shot in ""Show Yourself,"" the Lighting team designed a pattern of dancing light.  The pattern was fixed onto a\xe2\x80\xa6'"
,
3/31/2020 23:25,"b'RT @celestelabedz: Know a kid who would rather watch #Frozen2 on repeat than do schoolwork?\n\nWell then, buckle up right here for a kid-frie\xe2\x80\xa6'"
,
3/31/2020 23:24,"b""RT @DisneyD23: ICYMI: Have you been watching #Frozen2 on #DisneyPlus? Hear some snow cool secrets from the film's creators: https://t.co/Lk\xe2\x80\xa6"""
,
3/31/2020 23:23,"b'RT @DisneyAnimation: For this shot in ""Show Yourself,"" the Lighting team designed a pattern of dancing light.  The pattern was fixed onto a\xe2\x80\xa6'"
,
3/31/2020 23:22,b'RT @GeryRdz: Just do the next right thing \xe2\x9c\xa8\n#Frozen2 \xf0\x9f\x8d\x82 https://t.co/t0KeFVHxff'
,
3/31/2020 23:22,"b'RT @celestelabedz: Know a kid who would rather watch #Frozen2 on repeat than do schoolwork?\n\nWell then, buckle up right here for a kid-frie\xe2\x80\xa6'"
,
3/31/2020 23:21,b'RT @GeryRdz: Just do the next right thing \xe2\x9c\xa8\n#Frozen2 \xf0\x9f\x8d\x82 https://t.co/t0KeFVHxff'
,
3/31/2020 23:21,b'RT @GeryRdz: Just do the next right thing \xe2\x9c\xa8\n#Frozen2 \xf0\x9f\x8d\x82 https://t.co/t0KeFVHxff'
,
3/31/2020 23:21,b'RT @Disney: #Frozen2 is now streaming on #DisneyPlus \xe2\x9d\x84\xef\xb8\x8f \xf0\x9f\x8d\x82 https://t.co/xb2MyfDc2E'
,
3/31/2020 23:20,"b""RT @DisneyAnimation: Anna's first dress in #Frozen2 features a wheat motif, which is the symbol of fall in Arendelle.\xf0\x9f\x8e\xa8: Griselda Sastrawina\xe2\x80\xa6"""
,
3/31/2020 23:20,b'RT @GeryRdz: Just do the next right thing \xe2\x9c\xa8\n#Frozen2 \xf0\x9f\x8d\x82 https://t.co/t0KeFVHxff'
,
3/31/2020 23:19,b'RT @Disney: #Frozen2 is now streaming on #DisneyPlus \xe2\x9d\x84\xef\xb8\x8f \xf0\x9f\x8d\x82 https://t.co/xb2MyfDc2E'
,
3/31/2020 23:19,b'RT @i___131: Dear\n#frozen2 https://t.co/QkKGYWy6WQ'
,
3/31/2020 23:18,b'RT @charlestan: I just love this design \xe2\x9d\x84\xef\xb8\x8f #Frozen2 https://t.co/BG75FhWz87'
,
3/31/2020 23:18,"b'RT @celestelabedz: Know a kid who would rather watch #Frozen2 on repeat than do schoolwork?\n\nWell then, buckle up right here for a kid-frie\xe2\x80\xa6'"
,
3/31/2020 23:17,"b'Know a kid who would rather watch #Frozen2 on repeat than do schoolwork?\n\nWell then, buckle up right here for a kid-friendly, activity-filled, Frozen-themed science lesson thread from me, glaciologist Elsa the #SciencePrincess! \xe2\x9d\x84\xef\xb8\x8f\xf0\x9f\x91\xb8\xf0\x9f\x91\xa9\xe2\x80\x8d\xf0\x9f\x94\xac https://t.co/1ZhdlCyaRV'"
,
3/31/2020 23:14,"b'RT @DisneyAnimation: For this shot in ""Show Yourself,"" the Lighting team designed a pattern of dancing light.  The pattern was fixed onto a\xe2\x80\xa6'"
,
3/31/2020 23:14,b'RT @DisneyDan: This was a pretty solid toy investment this past Christmas.\n\n@disneyplus Home Quarantined Theater: Watching #Frozen2 with so\xe2\x80\xa6'
,
3/31/2020 23:13,b'RT @IamPoyTail: Two sisters \xf0\x9f\xa5\xb0\nDrawing by @IamPoyTail (me)\n#frozen #frozen2 #frozenfanart #disney #disneyfanart #fanart #olafsfrozenadventur\xe2\x80\xa6'
,
